iter	Passed	Remaining
0	24	24302
1	65	32851
2	95	31726
3	132	33087
4	174	34777
5	195	32365
6	232	33030
7	251	31187
8	278	30632
9	311	30853
10	353	31800
11	373	30761
12	397	30171
13	432	30430
14	469	30850
15	489	30082
16	507	29321
17	542	29579
18	579	29901
19	614	30106
20	653	30465
21	685	30465
22	707	30034
23	736	29950
24	766	29903
25	808	30276
26	859	30958
27	917	31836
28	958	32084
29	1012	32746
30	1058	33088
31	1098	33238
32	1135	33277
33	1154	32809
34	1192	32879
35	1232	33014
36	1283	33399
37	1329	33655
38	1372	33810
39	1415	33974
40	1461	34191
41	1498	34174
42	1530	34067
43	1579	34316
44	1612	34227
45	1659	34408
46	1688	34234
47	1716	34046
48	1748	33937
49	1782	33864
50	1808	33649
51	1832	33415
52	1853	33117
53	1873	32820
54	1897	32609
55	1935	32628
56	1972	32625
57	2008	32618
58	2047	32659
59	2106	32995
60	2165	33333
61	2193	33181
62	2228	33151
63	2272	33231
64	2319	33363
65	2361	33413
66	2417	33660
67	2461	33731
68	2499	33730
69	2536	33694
70	2566	33581
71	2616	33729
72	2653	33695
73	2686	33611
74	2719	33542
75	2765	33625
76	2797	33527
77	2840	33571
78	2859	33334
79	2898	33330
80	2938	33335
81	2971	33271
82	3028	33459
83	3070	33478
84	3111	33492
85	3151	33496
86	3187	33452
87	3226	33433
88	3280	33578
89	3319	33560
90	3377	33741
91	3411	33674
92	3431	33464
93	3465	33398
94	3516	33500
95	3554	33472
96	3599	33512
97	3629	33410
98	3672	33424
99	3701	33312
100	3724	33147
101	3786	33334
102	3828	33338
103	3868	33332
104	3897	33218
105	3928	33134
106	3963	33081
107	3998	33028
108	4054	33144
109	4092	33115
110	4133	33106
111	4188	33206
112	4246	33336
113	4283	33287
114	4317	33229
115	4354	33181
116	4416	33334
117	4455	33303
118	4512	33407
119	4545	33330
120	4587	33325
121	4618	33237
122	4667	33281
123	4706	33252
124	4764	33352
125	4805	33331
126	4846	33312
127	4887	33296
128	4945	33392
129	5000	33467
130	5052	33513
131	5104	33565
132	5154	33600
133	5218	33722
134	5268	33757
135	5330	33862
136	5378	33878
137	5438	33971
138	5483	33963
139	5544	34060
140	5588	34048
141	5637	34062
142	5685	34074
143	5751	34192
144	5790	34145
145	5846	34196
146	5906	34272
147	5956	34289
148	6008	34314
149	6064	34367
150	6131	34474
151	6176	34456
152	6213	34395
153	6253	34354
154	6297	34329
155	6365	34436
156	6424	34497
157	6481	34539
158	6549	34642
159	6598	34641
160	6660	34711
161	6739	34861
162	6780	34819
163	6830	34820
164	6887	34855
165	6954	34939
166	7020	35018
167	7096	35146
168	7149	35157
169	7261	35455
170	7309	35434
171	7347	35370
172	7406	35406
173	7467	35450
174	7511	35412
175	7562	35408
176	7625	35457
177	7687	35502
178	7750	35548
179	7792	35498
180	7842	35486
181	7885	35441
182	7945	35470
183	7994	35452
184	8050	35466
185	8107	35482
186	8158	35468
187	8210	35460
188	8261	35450
189	8302	35396
190	8368	35443
191	8425	35456
192	8476	35443
193	8523	35411
194	8576	35406
195	8635	35422
196	8693	35435
197	8742	35411
198	8767	35290
199	8828	35315
200	8875	35281
201	8919	35238
202	8982	35264
203	9051	35319
204	9104	35306
205	9151	35273
206	9212	35293
207	9254	35239
208	9315	35257
209	9371	35256
210	9419	35222
211	9473	35212
212	9528	35206
213	9579	35184
214	9651	35237
215	9703	35221
216	9763	35228
217	9831	35267
218	9886	35258
219	9946	35265
220	10009	35281
221	10064	35272
222	10129	35295
223	10192	35308
224	10251	35311
225	10303	35288
226	10348	35240
227	10405	35231
228	10448	35178
229	10507	35176
230	10584	35235
231	10632	35198
232	10705	35240
233	10757	35214
234	10808	35185
235	10870	35192
236	10943	35230
237	11008	35246
238	11058	35210
239	11126	35235
240	11179	35208
241	11220	35146
242	11276	35129
243	11321	35076
244	11373	35050
245	11415	34988
246	11454	34920
247	11524	34944
248	11592	34963
249	11644	34933
250	11695	34901
251	11739	34845
252	11782	34789
253	11829	34743
254	11888	34731
255	11932	34680
256	11977	34626
257	12019	34568
258	12086	34578
259	12130	34525
260	12183	34497
261	12240	34480
262	12294	34451
263	12367	34479
264	12413	34428
265	12457	34374
266	12511	34347
267	12558	34301
268	12600	34242
269	12660	34230
270	12711	34195
271	12761	34156
272	12821	34144
273	12875	34115
274	12926	34079
275	12974	34035
276	13036	34027
277	13088	33992
278	13139	33955
279	13191	33921
280	13249	33901
281	13305	33876
282	13369	33872
283	13417	33826
284	13471	33797
285	13517	33745
286	13570	33712
287	13632	33702
288	13679	33654
289	13731	33619
290	13790	33600
291	13862	33612
292	13924	33599
293	13975	33559
294	14026	33521
295	14074	33475
296	14127	33440
297	14193	33435
298	14248	33405
299	14294	33354
300	14333	33286
301	14385	33249
302	14450	33241
303	14508	33216
304	14576	33214
305	14628	33177
306	14684	33148
307	14737	33111
308	14799	33096
309	14851	33057
310	14905	33023
311	14955	32979
312	15022	32973
313	15088	32963
314	15152	32951
315	15208	32919
316	15287	32938
317	15359	32941
318	15416	32910
319	15471	32876
320	15519	32826
321	15559	32761
322	15649	32800
323	15671	32697
324	15725	32659
325	15774	32612
326	15831	32582
327	15886	32548
328	15960	32550
329	16015	32516
330	16084	32510
331	16124	32442
332	16182	32413
333	16241	32386
334	16322	32401
335	16387	32385
336	16434	32332
