iter	Logloss
0	0.6575299277
1	0.6231582865
2	0.5925402896
3	0.5638025557
4	0.5356998247
5	0.5116621409
6	0.4895023201
7	0.4679318311
8	0.4481701572
9	0.4309549866
10	0.4150749824
11	0.399969742
12	0.3854937514
13	0.3731486836
14	0.3608423521
15	0.3497328854
16	0.3400427544
17	0.3301683048
18	0.3204017001
19	0.3115261258
20	0.3044478348
21	0.2977297417
22	0.2913554653
23	0.2852703519
24	0.2788893733
25	0.2743845324
26	0.2687562067
27	0.2651305805
28	0.2602987648
29	0.2552847286
30	0.2502270045
31	0.2453576517
32	0.2403694909
33	0.2358191707
34	0.2317507728
35	0.2280027013
36	0.2246910175
37	0.2213979311
38	0.2179555244
39	0.2150612275
40	0.2122191165
41	0.2098534748
42	0.2074166242
43	0.2053932847
44	0.203529251
45	0.2015482796
46	0.1996858361
47	0.1978852994
48	0.1961772531
49	0.1945812113
50	0.1932341885
51	0.191910159
52	0.1906015686
53	0.1893930697
54	0.1882699207
55	0.1870528958
56	0.1860096622
57	0.1850064343
58	0.1840071927
59	0.1831033391
60	0.1823662308
61	0.1815410743
62	0.1807768947
63	0.1800650133
64	0.1793492068
65	0.1787465595
66	0.1781206816
67	0.1775135567
68	0.1769510931
69	0.1764938977
70	0.1760164156
71	0.1754150012
72	0.1748249039
73	0.1742482629
74	0.1736868895
75	0.1732650406
76	0.1727548862
77	0.1723488798
78	0.1719027954
79	0.1715226551
80	0.171160653
81	0.1707111983
82	0.1702855013
83	0.1699155549
84	0.1695089871
85	0.169071134
86	0.1686984801
87	0.168301925
88	0.1679914811
89	0.1677147214
90	0.1674171446
91	0.1671329116
92	0.1668424786
93	0.1666004743
94	0.1662981456
95	0.1661063396
96	0.16590817
97	0.1656768508
98	0.1655390621
99	0.1653116431
100	0.1651601101
101	0.1649309301
102	0.1647937672
103	0.1645513273
104	0.1643588768
105	0.1642311626
106	0.1642101643
107	0.1639988693
108	0.1638939802
109	0.1637403951
110	0.1635394348
111	0.1634306699
112	0.1632655786
113	0.1631198142
114	0.1629354984
115	0.1628364963
116	0.16272054
117	0.1625777638
118	0.1624888468
119	0.1624164297
120	0.1622836096
121	0.1621219922
122	0.1619372339
123	0.1617344945
124	0.1615448722
125	0.161372706
126	0.1611804896
127	0.1609586467
128	0.1608751514
129	0.16080508
130	0.1606221034
131	0.1604774792
132	0.1602778257
133	0.1601105811
134	0.1600950778
135	0.1599357083
136	0.1597581067
137	0.1596654829
138	0.1595963979
139	0.1595284096
140	0.1594069622
141	0.1592819639
142	0.1591829908
143	0.1591048638
144	0.1590267695
145	0.1589959944
146	0.158840561
147	0.1587673775
148	0.1586969184
149	0.158576656
150	0.1584788688
151	0.1582787292
152	0.1580077703
153	0.1579619721
154	0.1577204776
155	0.1575743781
156	0.1574257691
157	0.1573542634
158	0.1572519654
159	0.1571231603
160	0.1570392729
161	0.156985812
162	0.1569498449
163	0.15688706
164	0.1567808966
165	0.156647335
166	0.1565666578
167	0.1565063108
168	0.1564181609
169	0.1563725446
170	0.1563087639
171	0.1561961693
172	0.1560869073
173	0.1560298521
174	0.1559704067
175	0.1559220361
176	0.1558671678
177	0.1558272148
178	0.1557918796
179	0.1556661326
180	0.1555475513
181	0.1555089845
182	0.1554697716
183	0.1554316901
184	0.1553635092
185	0.1553209492
186	0.1553088989
187	0.1552917356
188	0.1552312628
189	0.1551187762
190	0.1549969088
191	0.1549362089
192	0.1548970634
193	0.1548809754
194	0.1548645203
195	0.1548035632
196	0.1547502582
197	0.1546773582
198	0.1546324065
199	0.1546107567
200	0.1545210143
201	0.1544703451
202	0.1544703318
203	0.1544313325
204	0.1543966563
205	0.1543494354
206	0.1543115039
207	0.1542436525
208	0.1542019003
209	0.1541325714
210	0.154080381
211	0.1540289349
212	0.1539890367
213	0.1539222165
214	0.1538642657
215	0.1537706894
216	0.1537138036
217	0.1536589651
218	0.1536316237
219	0.1536045398
220	0.1535647003
221	0.153476928
222	0.1533892541
223	0.1533433923
224	0.1533062742
225	0.153257692
226	0.1532213304
227	0.1531720593
228	0.1531415983
229	0.1530604493
230	0.1530113478
231	0.1530007481
232	0.1529262819
233	0.1529039708
234	0.152889631
235	0.1528478737
236	0.1527831279
237	0.1527598134
238	0.1526870817
239	0.1526109377
240	0.1525925672
241	0.1525503936
242	0.1525249538
243	0.1524732493
244	0.1524308658
245	0.1524023052
246	0.1523707945
247	0.1523309237
248	0.1522990683
249	0.1522650035
250	0.1522136628
251	0.1522136628
252	0.1521715214
253	0.1521389414
