iter	Passed	Remaining
0	19	19788
1	27	13610
2	47	15702
3	55	13872
4	62	12513
5	71	11769
6	81	11574
7	98	12264
8	103	11392
9	114	11327
10	119	10749
11	132	10921
12	157	11932
13	178	12561
14	202	13292
15	223	13769
16	247	14311
17	266	14554
18	279	14442
19	291	14271
20	312	14574
21	333	14847
22	350	14868
23	363	14765
24	390	15216
25	405	15185
26	426	15354
27	443	15403
28	456	15299
29	482	15597
30	500	15648
31	521	15779
32	535	15687
33	552	15710
34	577	15916
35	603	16164
36	637	16604
37	661	16741
38	694	17111
39	713	17116
40	739	17302
41	772	17631
42	802	17854
43	824	17911
44	858	18218
45	877	18194
46	892	18103
47	921	18270
48	956	18566
49	985	18726
50	1017	18929
51	1053	19201
52	1089	19462
53	1105	19370
54	1124	19326
55	1139	19204
56	1165	19283
57	1184	19242
58	1206	19249
59	1241	19445
60	1272	19588
61	1303	19719
62	1330	19795
63	1353	19789
64	1377	19810
65	1414	20015
66	1436	20003
67	1455	19947
68	1484	20030
69	1521	20212
70	1550	20287
71	1588	20469
72	1598	20293
73	1625	20341
74	1652	20380
75	1679	20422
76	1694	20307
77	1716	20287
78	1751	20421
79	1772	20384
80	1788	20288
81	1810	20264
82	1842	20353
83	1860	20284
84	1873	20166
85	1894	20131
86	1933	20295
87	1966	20376
88	2003	20512
89	2031	20540
90	2046	20438
91	2068	20419
92	2101	20492
93	2121	20443
94	2140	20386
95	2175	20482
96	2196	20445
97	2226	20494
98	2257	20548
99	2297	20678
100	2318	20633
101	2347	20664
102	2368	20630
103	2395	20636
104	2420	20630
105	2446	20632
106	2471	20630
107	2492	20589
108	2530	20683
109	2569	20790
110	2596	20796
111	2622	20789
112	2656	20849
113	2682	20845
114	2710	20856
115	2741	20895
116	2784	21017
117	2813	21026
118	2845	21064
119	2875	21088
120	2905	21110
121	2941	21166
122	2953	21059
123	2980	21057
124	3013	21097
125	3040	21088
126	3078	21164
127	3107	21169
128	3130	21140
129	3158	21136
130	3191	21170
131	3214	21136
132	3250	21189
133	3271	21142
134	3299	21142
135	3338	21211
136	3364	21196
137	3394	21203
138	3427	21228
139	3459	21253
140	3490	21266
141	3525	21300
142	3559	21334
143	3592	21357
144	3612	21299
145	3648	21341
146	3674	21319
147	3696	21282
148	3718	21235
149	3748	21241
150	3790	21310
151	3817	21295
152	3844	21285
153	3871	21265
154	3889	21201
155	3908	21147
156	3950	21212
157	3973	21173
158	4006	21189
159	4035	21187
160	4068	21204
161	4094	21177
