iter	Passed	Remaining
0	21	21095
1	48	23999
2	72	23987
3	104	26052
4	139	27723
5	155	25780
6	194	27545
7	212	26339
8	241	26621
9	263	26129
10	298	26870
11	315	25940
12	352	26795
13	380	26819
14	418	27512
15	438	26990
16	456	26367
17	488	26652
18	522	26996
19	559	27403
20	596	27831
21	626	27843
22	650	27616
23	677	27540
24	716	27955
25	757	28370
26	810	29220
27	863	29986
28	906	30351
29	960	31065
30	1003	31381
31	1039	31436
32	1081	31686
33	1104	31371
34	1145	31585
35	1186	31772
36	1240	32290
37	1288	32630
38	1328	32746
39	1387	33304
40	1432	33511
41	1484	33870
42	1522	33888
43	1559	33873
44	1595	33865
45	1637	33959
46	1673	33922
47	1700	33720
48	1736	33692
49	1768	33596
50	1801	33531
51	1834	33441
52	1858	33211
53	1881	32956
54	1912	32857
55	1945	32796
56	1986	32857
57	2024	32887
58	2074	33087
59	2121	33241
60	2174	33478
61	2206	33382
62	2238	33296
63	2279	33330
64	2315	33306
65	2350	33257
66	2409	33547
67	2440	33454
68	2472	33355
69	2509	33336
70	2535	33182
71	2593	33421
72	2632	33426
73	2662	33322
74	2694	33234
75	2744	33365
76	2777	33294
77	2815	33280
78	2842	33135
79	2875	33063
80	2916	33085
81	2950	33031
82	3012	33280
83	3054	33304
84	3098	33356
85	3141	33384
86	3172	33290
87	3212	33297
88	3265	33426
89	3306	33434
90	3362	33586
91	3415	33713
92	3436	33512
93	3470	33452
94	3525	33586
95	3563	33552
96	3605	33563
97	3637	33476
98	3679	33483
99	3713	33417
100	3742	33309
101	3797	33435
102	3842	33459
103	3878	33418
104	3910	33336
105	3942	33253
106	3980	33219
107	4017	33180
108	4076	33323
109	4116	33304
110	4161	33332
111	4220	33465
112	4277	33576
113	4315	33539
114	4354	33507
115	4402	33546
116	4472	33754
117	4511	33719
118	4558	33751
119	4595	33703
120	4643	33732
121	4679	33673
122	4729	33722
123	4773	33721
124	4829	33805
125	4878	33840
126	4915	33785
127	4961	33802
128	5018	33885
129	5075	33967
130	5134	34061
131	5189	34123
132	5230	34095
133	5298	34245
134	5355	34316
135	5420	34435
136	5485	34552
137	5551	34678
138	5595	34660
139	5655	34739
140	5702	34743
141	5753	34766
142	5811	34828
143	5876	34931
144	5923	34926
145	5983	34996
146	6043	35069
147	6105	35146
148	6155	35158
149	6211	35199
150	6282	35321
151	6324	35284
152	6358	35198
153	6406	35191
154	6525	35574
155	6589	35652
156	6639	35651
157	6689	35649
158	6748	35696
159	6800	35703
160	6859	35745
161	6919	35794
162	6949	35687
163	6998	35673
164	7056	35710
165	7111	35727
166	7177	35800
167	7248	35895
168	7303	35911
169	7386	36063
170	7458	36158
171	7510	36155
172	7595	36309
173	7659	36358
174	7708	36338
175	7759	36326
176	7821	36367
177	7884	36410
178	7947	36451
179	7995	36423
180	8047	36414
181	8095	36383
182	8152	36397
183	8206	36394
184	8264	36408
185	8325	36434
186	8382	36445
187	8436	36438
188	8486	36415
189	8530	36365
190	8616	36496
191	8683	36542
192	8736	36529
193	8795	36542
194	8855	36558
195	8911	36554
196	8975	36584
197	9029	36573
198	9056	36452
199	9123	36494
200	9175	36473
201	9219	36422
202	9274	36412
203	9344	36462
204	9394	36432
205	9436	36371
206	9502	36404
207	9540	36327
208	9612	36379
209	9664	36357
210	9708	36303
211	9761	36284
212	9822	36291
213	9873	36265
214	9939	36291
215	9986	36247
216	10041	36232
217	10094	36209
218	10156	36220
219	10208	36194
220	10269	36199
221	10318	36162
222	10384	36181
223	10444	36181
224	10502	36174
225	10544	36114
226	10586	36051
227	10659	36093
228	10709	36057
229	10762	36031
230	10837	36077
231	10881	36021
232	10954	36059
233	11009	36040
234	11076	36057
235	11122	36005
236	11178	35987
237	11231	35958
238	11269	35884
239	11320	35848
240	11365	35794
241	11405	35723
242	11459	35698
243	11512	35670
244	11567	35648
245	11605	35572
246	11670	35577
247	11750	35631
248	11813	35630
249	11865	35595
250	11912	35547
251	11961	35505
252	12013	35470
253	12066	35440
254	12130	35439
255	12175	35383
256	12226	35348
257	12275	35303
258	12349	35331
259	12401	35297
260	12457	35271
261	12517	35258
262	12568	35219
263	12634	35223
264	12698	35220
265	12743	35165
266	12792	35120
267	12830	35045
268	12880	35001
269	12936	34975
270	12983	34925
271	13034	34885
272	13086	34848
273	13141	34820
274	13195	34788
275	13252	34764
276	13306	34730
277	13353	34681
278	13400	34630
279	13445	34573
280	13499	34542
281	13549	34499
282	13610	34482
283	13658	34435
284	13712	34401
285	13757	34345
286	13810	34308
287	13867	34283
288	13917	34239
289	13967	34195
290	14026	34175
291	14095	34177
292	14152	34148
293	14209	34121
294	14260	34080
295	14315	34047
296	14366	34006
297	14439	34016
298	14504	34004
299	14559	33972
300	14599	33904
301	14653	33868
302	14797	34039
303	14850	33999
304	14905	33966
305	14951	33909
306	14999	33859
307	15050	33815
308	15103	33776
309	15153	33727
310	15211	33699
311	15259	33648
312	15322	33630
313	15379	33598
314	15435	33566
315	15494	33538
316	15563	33532
317	15631	33524
318	15692	33501
319	15745	33459
320	15812	33447
321	15847	33368
322	15924	33377
323	15960	33299
324	16030	33294
325	16102	33291
326	16170	33280
327	16224	33240
328	16294	33232
329	16334	33164
330	16399	33146
331	16434	33067
332	16488	33025
333	16549	32999
334	16623	32999
335	16688	32979
336	16730	32915
337	16781	32868
338	16836	32828
339	16883	32773
340	16929	32717
341	16985	32679
342	17029	32618
343	17081	32573
344	17139	32540
345	17183	32479
346	17232	32428
347	17289	32393
348	17350	32363
349	17405	32324
350	17475	32313
351	17530	32272
352	17586	32233
353	17638	32188
354	17691	32143
355	17740	32092
356	17804	32068
357	17891	32084
358	17932	32019
359	18002	32005
360	18055	31959
361	18104	31907
362	18163	31873
363	18217	31831
364	18262	31772
365	18313	31724
366	18370	31684
367	18422	31639
368	18470	31585
369	18521	31537
370	18567	31479
371	18617	31429
372	18674	31390
373	18723	31339
374	18780	31301
375	18833	31256
376	18908	31246
377	18967	31210
378	19022	31168
379	19092	31150
380	19155	31120
381	19205	31069
382	19248	31008
383	19323	30997
384	19370	30942
385	19423	30896
386	19462	30827
387	19519	30787
388	19557	30719
389	19625	30697
390	19684	30659
391	19728	30599
392	19800	30582
393	19857	30542
394	19927	30522
395	19989	30488
396	20036	30433
397	20061	30343
398	20113	30296
399	20170	30256
400	20227	30215
401	20282	30172
402	20335	30125
403	20407	30106
404	20452	30046
405	20492	29981
406	20552	29944
407	20596	29884
408	20652	29842
409	20715	29809
410	20783	29784
411	20826	29723
412	20884	29683
413	21013	29744
414	21075	29708
415	21124	29654
416	21175	29605
417	21234	29565
418	21290	29522
419	21325	29449
420	21365	29383
421	21418	29336
422	21472	29289
423	21513	29226
424	21585	29203
425	21654	29178
426	21700	29120
427	21753	29073
428	21808	29026
429	21872	28993
430	21909	28923
431	21968	28884
432	22052	28877
433	22118	28846
434	22176	28803
435	22229	28755
436	22279	28703
437	22328	28650
438	22385	28606
439	22456	28581
440	22494	28513
441	22551	28470
442	22607	28424
443	22672	28391
444	22715	28330
445	22761	28272
446	22793	28199
447	22828	28128
448	22864	28058
449	22928	28023
450	22988	27983
451	23052	27948
452	23109	27905
453	23163	27857
454	23215	27807
455	23279	27771
456	23322	27711
457	23370	27657
458	23407	27589
459	23454	27533
460	23508	27486
461	23558	27433
462	23611	27385
463	23688	27364
464	23755	27331
465	23807	27281
466	23859	27231
467	23908	27177
468	23960	27127
469	24007	27071
470	24071	27036
471	24126	26988
472	24181	26941
473	24238	26897
474	24302	26860
475	24394	26854
476	24453	26811
477	24528	26786
478	24587	26743
479	24637	26690
480	24700	26651
481	24757	26606
482	24814	26560
483	24867	26511
484	24921	26462
485	24989	26429
486	25046	26383
487	25118	26353
488	25168	26301
489	25206	26235
490	25270	26196
491	25333	26157
492	25389	26110
493	25444	26062
494	25488	26003
495	25532	25944
496	25578	25887
497	25606	25812
498	25655	25758
499	25709	25709
500	25773	25670
501	25827	25621
502	25879	25570
503	25933	25521
504	25972	25458
505	26030	25412
506	26074	25354
507	26147	25324
508	26205	25278
509	26275	25244
510	26327	25194
511	26381	25144
512	26429	25090
513	26474	25032
514	26523	24978
515	26586	24938
516	26645	24893
517	26701	24845
518	26754	24795
519	26811	24749
520	26857	24692
521	26902	24635
522	26943	24573
523	27001	24528
524	27057	24480
525	27105	24425
526	27183	24397
527	27234	24345
528	27285	24293
529	27337	24242
530	27388	24190
531	27444	24143
532	27494	24090
533	27549	24041
534	27601	23990
535	27665	23949
536	27724	23904
537	27776	23853
538	27818	23792
539	27871	23742
540	27929	23696
541	27987	23650
542	28063	23618
543	28111	23563
544	28238	23575
545	28300	23531
546	28367	23492
547	28421	23442
548	28480	23396
549	28530	23342
550	28570	23281
551	28613	23222
552	28664	23170
553	28724	23124
554	28795	23088
555	28852	23040
556	28910	22993
557	28970	22948
558	29043	22912
559	29099	22864
560	29145	22807
561	29210	22765
562	29290	22735
563	29351	22690
564	29413	22645
565	29451	22582
566	29507	22534
567	29561	22483
568	29617	22434
569	29683	22393
570	29746	22348
571	29791	22291
572	29836	22234
573	29907	22196
574	29952	22138
575	30013	22093
576	30057	22035
577	30105	21980
578	30159	21929
579	30219	21883
580	30283	21839
581	30342	21792
582	30391	21737
583	30436	21680
584	30483	21624
585	30539	21575
586	30581	21516
587	30641	21469
588	30680	21408
589	30751	21369
590	30785	21304
591	30845	21258
592	30903	21210
593	30955	21158
594	31019	21113
595	31069	21060
596	31129	21013
597	31178	20959
598	31238	20912
599	31294	20862
600	31352	20814
601	31413	20768
602	31479	20725
603	31528	20670
604	31575	20615
605	31635	20568
606	31686	20515
607	31741	20464
608	31801	20417
609	31848	20361
610	31906	20313
611	31957	20260
612	32015	20212
613	32077	20166
614	32126	20111
615	32194	20069
616	32257	20023
617	32312	19972
618	32383	19932
619	32438	19881
620	32493	19830
621	32558	19786
622	32622	19740
623	32676	19689
624	32730	19638
625	32780	19584
626	32842	19537
627	32924	19503
628	32997	19462
629	33070	19422
630	33129	19373
631	33176	19317
632	33238	19271
633	33304	19226
634	33382	19188
635	33448	19143
636	33510	19096
637	33563	19044
638	33620	18993
639	33682	18946
640	33743	18898
641	33800	18848
642	33851	18794
643	33898	18739
644	33949	18685
645	34008	18636
646	34048	18576
647	34109	18528
648	34157	18473
