iter	Logloss
0	0.6128065365
1	0.5458192659
2	0.4874813328
3	0.4404927358
4	0.4019870174
5	0.3701927664
6	0.3435415218
7	0.321781065
8	0.3048844771
9	0.290876995
10	0.27505303
11	0.2620432414
12	0.2523501121
13	0.2422380202
14	0.2332864442
15	0.2250181797
16	0.2180942064
17	0.2118683115
18	0.2062323238
19	0.2020154856
20	0.1985954571
21	0.1952848833
22	0.1920891687
23	0.189643446
24	0.1872855787
25	0.1853991089
26	0.1835269649
27	0.1820023051
28	0.1803722454
29	0.1791026906
30	0.1779449229
31	0.1768652239
32	0.1760649557
33	0.175133218
34	0.1742494024
35	0.1732028279
36	0.1722996759
37	0.1715865492
38	0.1709036428
39	0.1706904296
40	0.1701234272
41	0.1695748577
42	0.1692955287
43	0.1687144429
44	0.1677053945
45	0.1669258748
46	0.1662601555
47	0.1656941616
48	0.1650514114
49	0.1645622218
50	0.1642615906
51	0.1637855908
52	0.1635383861
53	0.1631186041
54	0.1626449007
55	0.1623647337
56	0.1621820866
57	0.1618183745
58	0.1614760083
59	0.1612862685
60	0.1610287848
61	0.1608657205
62	0.1605410902
63	0.1602655807
64	0.1601319235
65	0.1601028312
66	0.1599181492
67	0.1597083761
68	0.1595959475
69	0.1593866615
70	0.1592581159
71	0.1590600441
72	0.1589833218
73	0.1589268568
74	0.1586598869
75	0.1584748169
76	0.158265201
77	0.1581298352
78	0.1579920232
79	0.1578362595
80	0.1577499491
81	0.1576083773
82	0.1575433332
83	0.1574684081
84	0.1573665493
85	0.1570963884
86	0.1568559905
87	0.1564712492
88	0.1564008954
89	0.1563175718
90	0.1562680369
91	0.1560816646
92	0.1558739967
93	0.1556459295
94	0.1555743909
95	0.155512948
96	0.155424355
97	0.1553364767
98	0.1552766854
99	0.1552144374
100	0.1550771955
101	0.1548787066
102	0.1548042507
103	0.1547364389
104	0.1546496073
105	0.1545622514
106	0.1544559749
107	0.15438795
108	0.1543196989
109	0.1541898291
110	0.1540194003
111	0.153921804
112	0.1538128568
113	0.1537547477
114	0.1536847916
115	0.1536801496
116	0.1535560407
117	0.1534769729
118	0.1534655796
119	0.1533101328
120	0.1531890228
121	0.1531464387
122	0.1531354612
123	0.1531079739
124	0.1530198878
125	0.152983188
126	0.1529336965
127	0.1528698223
128	0.1527589359
129	0.1526664084
130	0.1525203364
131	0.1524222711
132	0.1523647601
133	0.1523172321
134	0.1522735103
135	0.1521545097
136	0.1521116621
137	0.1521105695
138	0.152008355
139	0.1519186049
140	0.1518575778
141	0.1517419511
142	0.1517173948
143	0.1516449877
144	0.1515116545
145	0.1514758139
146	0.1513598442
147	0.1512350664
148	0.1511020146
149	0.1509960422
150	0.1509076892
151	0.1508174252
152	0.1506706134
153	0.1506274142
154	0.1505284508
155	0.1505019323
156	0.1504777755
157	0.1504521741
158	0.1504431154
159	0.1503788659
160	0.1503399246
161	0.1501919302
162	0.15011368
163	0.1500813123
164	0.1500635211
165	0.1500189571
166	0.149899627
167	0.1498405076
168	0.1498137592
169	0.1497549284
170	0.1496297908
171	0.1495670063
172	0.1495149349
173	0.149417385
174	0.1493190404
175	0.1492846579
176	0.1492657214
177	0.1491478853
178	0.1490180553
179	0.1488893684
180	0.1488420693
181	0.1487439956
182	0.1486866808
183	0.14863668
184	0.1485198937
185	0.1483944629
186	0.1483221941
187	0.1482700053
188	0.1481731756
189	0.1481403522
190	0.1480242534
191	0.1479550207
192	0.1478927985
193	0.1478127011
194	0.1477507377
195	0.1476785998
196	0.1475962631
197	0.1475502482
