iter	Passed	Remaining
0	5	5746
1	19	9648
2	24	8176
3	35	8896
4	50	10029
5	66	11081
6	72	10258
7	87	10897
8	92	10153
9	96	9529
10	111	9993
11	128	10558
12	140	10668
13	162	11475
14	176	11557
15	199	12298
16	221	12832
17	247	13496
18	268	13851
19	289	14170
20	305	14227
21	325	14448
22	344	14654
23	359	14601
24	373	14572
25	391	14654
26	409	14739
27	429	14910
28	443	14836
29	470	15223
30	489	15300
31	511	15457
32	538	15786
33	566	16085
34	589	16243
35	608	16291
36	626	16297
37	651	16505
38	674	16614
39	684	16432
40	706	16528
41	721	16450
42	753	16764
43	773	16804
44	806	17105
45	839	17409
46	862	17491
47	883	17530
48	912	17719
49	948	18018
50	968	18019
51	999	18215
52	1020	18239
53	1043	18274
54	1077	18513
55	1099	18532
56	1129	18693
57	1160	18846
58	1180	18821
59	1204	18876
60	1218	18760
61	1242	18794
62	1273	18939
63	1287	18824
64	1317	18946
65	1344	19026
66	1381	19237
67	1399	19184
68	1415	19099
69	1460	19400
70	1480	19367
71	1511	19483
72	1540	19558
73	1560	19525
74	1599	19733
75	1631	19836
76	1667	19985
77	1695	20039
78	1736	20241
79	1760	20240
80	1785	20252
81	1814	20316
82	1853	20474
83	1878	20489
84	1912	20584
85	1941	20633
86	1952	20494
87	1977	20494
88	2007	20550
89	2031	20542
90	2067	20649
91	2099	20719
92	2129	20766
93	2160	20820
94	2187	20838
95	2219	20898
96	2249	20937
97	2271	20908
98	2314	21061
99	2344	21099
100	2372	21121
101	2409	21209
102	2434	21197
103	2459	21192
104	2492	21249
105	2515	21217
106	2545	21240
107	2573	21256
108	2604	21292
109	2639	21356
110	2659	21296
111	2687	21308
112	2726	21403
113	2766	21497
114	2793	21500
115	2815	21454
116	2862	21603
117	2889	21596
118	2907	21525
119	2928	21478
120	2965	21544
121	2991	21531
122	3013	21487
123	3041	21486
124	3076	21535
125	3099	21499
126	3126	21494
127	3149	21452
128	3178	21458
129	3216	21523
130	3240	21499
131	3263	21460
132	3298	21504
133	3316	21432
134	3338	21390
135	3373	21434
136	3402	21434
137	3414	21328
138	3442	21323
139	3469	21312
140	3490	21267
141	3509	21206
142	3536	21192
143	3564	21188
144	3596	21209
145	3625	21206
146	3660	21243
147	3698	21292
148	3734	21330
149	3765	21340
150	3801	21376
151	3828	21358
152	3849	21312
153	3881	21320
154	3909	21311
155	3924	21234
156	3945	21183
157	3970	21160
158	3990	21107
159	4029	21153
160	4053	21125
161	4074	21077
162	4094	21024
163	4107	20936
164	4124	20872
165	4149	20848
166	4185	20878
167	4217	20885
168	4241	20854
169	4272	20857
170	4291	20804
171	4305	20725
172	4325	20677
173	4353	20668
174	4383	20667
175	4413	20663
176	4439	20643
177	4459	20592
178	4486	20576
179	4515	20571
180	4540	20544
181	4568	20531
182	4591	20498
183	4620	20490
184	4651	20492
185	4690	20528
186	4708	20469
187	4732	20438
188	4757	20414
189	4790	20424
190	4821	20422
191	4848	20403
192	4868	20357
193	4903	20370
194	4932	20364
195	4969	20383
196	5008	20413
197	5039	20413
198	5062	20378
199	5104	20416
200	5127	20383
201	5160	20384
202	5188	20371
203	5213	20341
204	5242	20330
205	5268	20305
206	5303	20315
207	5333	20309
208	5370	20326
209	5400	20314
210	5427	20295
211	5456	20281
212	5494	20300
213	5521	20280
214	5550	20266
215	5573	20230
216	5595	20189
217	5620	20163
218	5651	20154
219	5694	20189
220	5729	20194
221	5755	20170
222	5780	20141
223	5807	20117
224	5833	20094
225	5858	20065
226	5892	20065
227	5913	20023
228	5935	19982
229	5978	20016
230	6008	20003
231	6027	19952
